window,electrode,term,beta,se,t,p,n_subjects,n_obs,random_effects,converged,llf,aic,bic
pre_cue,O1,group[T.experimental]:f,-0.0066710042387528815,0.018655439558655933,-0.35759030055432833,0.7206499380226687,70,5376,1 + f + f2,True,1453.96542272246,-2877.93084544492,-2779.085347211875
pre_cue,O1,f2,-0.013965403063396243,0.030562017255661756,-0.4569529212214906,0.6477048846133056,70,5376,1 + f + f2,True,1453.96542272246,-2877.93084544492,-2779.085347211875
pre_cue,O1,group[T.experimental]:f2,0.053780195328725106,0.04333488933708086,1.2410368677855697,0.21459212963737162,70,5376,1 + f + f2,True,1453.96542272246,-2877.93084544492,-2779.085347211875
pre_cue,O1,mean_trial_difficulty,0.023828087181287014,0.030819236832432564,0.7731563020474139,0.43942988383808235,70,5376,1 + f + f2,True,1453.96542272246,-2877.93084544492,-2779.085347211875
pre_cue,O2,Intercept,1.39579375242997,0.04484463713838412,31.125098595909037,1.1022162796223943e-212,70,5390,1 + f,True,1611.1707789848988,-3198.3415579697976,-3119.233950002961
pre_cue,O2,group[T.experimental],-0.044232495773260744,0.06060072969457668,-0.7299003823252516,0.4654510785996536,70,5390,1 + f,True,1611.1707789848988,-3198.3415579697976,-3119.233950002961
pre_cue,O2,half[T.second],0.038762765339678366,0.004741021218855804,8.176037092074724,2.933317283895112e-16,70,5390,1 + f,True,1611.1707789848988,-3198.3415579697976,-3119.233950002961
pre_cue,O2,f,-0.022547809819057428,0.0110533302300015,-2.0399109906132216,0.04135919188760013,70,5390,1 + f,True,1611.1707789848988,-3198.3415579697976,-3119.233950002961
pre_cue,O2,group[T.experimental]:f,0.0037012997710665096,0.015547864091900445,0.23805840784231427,0.8118357931681413,70,5390,1 + f,True,1611.1707789848988,-3198.3415579697976,-3119.233950002961
pre_cue,O2,f2,0.001552449855715996,0.02293740737959655,0.06768201087525448,0.9460387697117737,70,5390,1 + f,True,1611.1707789848988,-3198.3415579697976,-3119.233950002961
pre_cue,O2,group[T.experimental]:f2,0.00440169477298132,0.03288930811670797,0.1338336080942132,0.8935341508355685,70,5390,1 + f,True,1611.1707789848988,-3198.3415579697976,-3119.233950002961
pre_cue,O2,mean_trial_difficulty,0.030385595703154255,0.030042076024071645,1.0114346185266079,0.3118084591095118,70,5390,1 + f,True,1611.1707789848988,-3198.3415579697976,-3119.233950002961
